datetime,year,month,day,event,importance,actual,actual_num,forecast,forecast_num,previous,previous_num,surprise,surprise_pct
2008-01-01,2008,1,1,CB Consumer Confidence  (Dec),high,90.60,90.6,,,87.80,87.8,,
2008-01-01,2008,1,1,Unemployment Rate  (Dec),high,5%,0.05,,,4.7%,0.047,,
2008-01-01,2008,1,1,U6 Unemployment Rate  (Dec),medium,8.80%,0.08800000000000001,,,8.40%,0.084,,
2008-01-01,2008,1,1,ADP Nonfarm Employment Change  (Dec),high,0K,0.0,,,66K,66000.0,,
2008-01-01,2008,1,1,Trade Balance  (Dec),medium,-57.20B,-57200000000.0,,,-59.70B,-59700000000.0,,
2008-01-01,2008,1,1,Private Nonfarm Payrolls  (Dec),medium,55.00K,55000.0,,,80.00K,80000.0,,
2008-01-01,2008,1,1,Philadelphia Fed Manufacturing Index  (Dec),high,-5.50,-5.5,,,7.40,7.4,,
2008-01-01,2008,1,1,Pending Home Sales (MoM)  (Dec),medium,-2.40%,-0.024,,,-0.80%,-0.008,,
2008-01-01,2008,1,1,NY Empire State Manufacturing Index  (Dec),medium,8.69,8.69,,,25.77,25.77,,
2008-01-01,2008,1,1,New Home Sales  (Dec),high,619.00K,619000.0,,,641.00K,641000.0,,
2008-01-01,2008,1,1,Michigan Consumer Sentiment  (Dec),medium,75.50,75.5,,,75.00,75.0,,
2008-01-01,2008,1,1,Michigan Consumer Expectations  (Dec),medium,63.20,63.2,,,66.20,66.2,,
2008-01-01,2008,1,1,New Home Sales (MoM)  (Dec),medium,-3.40%,-0.034,,,-11.80%,-0.11800000000000001,,
2008-01-01,2008,1,1,JOLTS Job Openings  (Dec),high,4.32M,4320000.0,,,4.28M,4280000.0,,
2008-01-01,2008,1,1,Chicago PMI  (Dec),high,55.90,55.9,,,53.40,53.4,,
2008-01-01,2008,1,1,Michigan 5-Year Inflation Expectations  (Dec),medium,3.10%,0.031,,,2.90%,0.028999999999999998,,
2008-01-01,2008,1,1,Existing Home Sales  (Dec),high,4.41M,4410000.0,,,4.46M,4460000.0,,
2008-01-01,2008,1,1,Housing Starts (MoM)  (Dec),medium,-13.40%,-0.134,,,-5.30%,-0.053,,
2008-01-01,2008,1,1,Housing Starts  (Dec),medium,1.04M,1040000.0,,,1.20M,1200000.0,,
2008-01-01,2008,1,1,Existing Home Sales (MoM)  (Dec),medium,-1.10%,-0.011000000000000001,,,0.70%,0.006999999999999999,,
2008-01-01,2008,1,1,ISM Manufacturing Employment  (Dec),medium,48.60,48.6,,,48.40,48.4,,
2008-01-01,2008,1,1,ISM Manufacturing PMI  (Dec),high,49.00,49.0,,,50.50,50.5,,
2008-01-01,2008,1,1,ISM Manufacturing Prices  (Dec),high,68.00,68.0,,,67.50,67.5,,
2008-01-01,2008,1,1,ISM Non-Manufacturing PMI  (Dec),high,52.50,52.5,,,52.70,52.7,,
2008-01-01,2008,1,1,Initial Jobless Claims  (Dec),high,349.10K,349100.0,,,339.05K,339050.0,,
2008-01-04,2008,1,4,Nonfarm Payrolls  (Dec),high,82K,82000.0,,,94K,94000.0,,
2008-02-01,2008,2,1,NY Empire State Manufacturing Index  (Jan),medium,7.01,7.01,,,8.69,8.69,,
2008-02-01,2008,2,1,Unemployment Rate  (Jan),high,5%,0.05,,,5%,0.05,,
